rental_id,rental_date,inventory_id,customer_id,return_date,staff_id,last_update
24,2022-05-25 01:53:02.000000 +00:00,3273,350,2022-05-27 00:15:02.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
25,2022-05-25 02:21:20.000000 +00:00,3961,37,2022-05-27 20:25:20.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
26,2022-05-25 02:36:50.000000 +00:00,4371,371,2022-05-30 23:34:50.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
27,2022-05-25 02:41:50.000000 +00:00,1225,301,2022-05-30 00:13:50.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
28,2022-05-25 02:42:37.000000 +00:00,4068,232,2022-05-26 08:26:37.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
29,2022-05-25 02:47:12.000000 +00:00,611,44,2022-05-29 23:31:12.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
30,2022-05-25 03:01:32.000000 +00:00,3744,430,2022-05-30 02:12:32.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
31,2022-05-25 03:05:17.000000 +00:00,4482,369,2022-05-30 06:15:17.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
32,2022-05-25 03:06:21.000000 +00:00,3832,230,2022-05-25 22:55:21.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
33,2022-05-25 03:18:51.000000 +00:00,1681,272,2022-05-27 02:58:51.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
34,2022-05-25 03:19:28.000000 +00:00,2613,597,2022-05-28 23:10:28.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
35,2022-05-25 03:24:36.000000 +00:00,1286,484,2022-05-27 06:02:36.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
36,2022-05-25 03:36:26.000000 +00:00,1308,88,2022-05-28 23:31:26.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
37,2022-05-25 03:44:31.000000 +00:00,403,535,2022-05-29 00:03:31.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
38,2022-05-25 03:47:44.000000 +00:00,2540,302,2022-05-31 23:58:44.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
39,2022-05-25 03:51:46.000000 +00:00,4466,207,2022-05-31 02:14:46.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
40,2022-05-25 04:09:04.000000 +00:00,2638,413,2022-05-27 22:12:04.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
41,2022-05-25 04:12:29.000000 +00:00,1761,174,2022-06-01 23:28:29.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
42,2022-05-25 04:24:58.000000 +00:00,380,523,2022-05-31 01:47:58.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
43,2022-05-25 04:39:25.000000 +00:00,2578,532,2022-05-26 05:54:25.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
44,2022-05-25 04:53:23.000000 +00:00,3098,207,2022-05-29 09:56:23.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
45,2022-05-25 04:59:39.000000 +00:00,1853,436,2022-06-02 08:56:39.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
46,2022-05-25 05:04:08.000000 +00:00,3318,7,2022-06-02 07:18:08.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
47,2022-05-25 05:05:20.000000 +00:00,2211,35,2022-05-30 02:04:20.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
48,2022-05-25 05:20:46.000000 +00:00,1780,282,2022-06-02 04:42:46.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
49,2022-05-25 05:39:35.000000 +00:00,2965,498,2022-05-30 09:12:35.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
50,2022-05-25 05:44:53.000000 +00:00,1983,18,2022-05-28 10:28:53.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
51,2022-05-25 05:49:10.000000 +00:00,1257,256,2022-05-26 05:42:10.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
52,2022-05-25 05:51:29.000000 +00:00,4017,507,2022-05-31 00:27:29.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
53,2022-05-25 06:19:16.000000 +00:00,1255,569,2022-05-27 04:19:16.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
54,2022-05-25 06:23:25.000000 +00:00,2787,291,2022-06-01 04:05:25.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
55,2022-05-25 07:26:13.000000 +00:00,1139,131,2022-05-30 09:57:13.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
56,2022-05-25 07:28:11.000000 +00:00,1352,511,2022-05-26 13:21:11.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
57,2022-05-25 07:43:32.000000 +00:00,3938,6,2022-05-29 05:42:32.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
58,2022-05-25 07:53:14.000000 +00:00,3050,323,2022-05-28 13:40:14.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
59,2022-05-25 07:56:42.000000 +00:00,2884,408,2022-06-01 08:52:42.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
60,2022-05-25 07:58:25.000000 +00:00,330,470,2022-05-30 13:14:25.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
61,2022-05-25 08:01:57.000000 +00:00,4210,250,2022-06-02 06:22:57.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
62,2022-05-25 08:18:52.000000 +00:00,261,419,2022-05-30 09:55:52.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
63,2022-05-25 08:19:16.000000 +00:00,4008,383,2022-05-27 03:24:16.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
64,2022-05-25 08:21:29.000000 +00:00,79,368,2022-06-03 10:31:29.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
65,2022-05-25 08:32:03.000000 +00:00,3552,346,2022-05-29 13:21:03.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
66,2022-05-25 08:35:12.000000 +00:00,1162,86,2022-05-29 03:16:12.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
67,2022-05-25 08:41:01.000000 +00:00,239,119,2022-05-27 12:46:01.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
68,2022-05-25 08:47:31.000000 +00:00,4029,120,2022-05-31 09:20:31.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
69,2022-05-25 09:10:14.000000 +00:00,3207,305,2022-05-27 13:02:14.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
70,2022-05-25 09:15:23.000000 +00:00,2168,73,2022-05-27 04:56:23.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
71,2022-05-25 09:26:39.000000 +00:00,2408,100,2022-05-28 03:59:39.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
72,2022-05-25 09:52:13.000000 +00:00,2260,48,2022-05-28 04:52:13.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
73,2022-05-25 10:00:07.000000 +00:00,517,391,2022-06-01 12:56:07.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
74,2022-05-25 10:09:48.000000 +00:00,1744,265,2022-05-26 11:23:48.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
75,2022-05-25 10:13:34.000000 +00:00,3393,510,2022-06-03 11:58:34.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
76,2022-05-25 10:30:37.000000 +00:00,3021,1,2022-06-03 11:00:37.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
77,2022-05-25 10:31:59.000000 +00:00,1303,451,2022-05-26 15:53:59.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
78,2022-05-25 10:35:18.000000 +00:00,4067,135,2022-05-31 11:48:18.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
79,2022-05-25 11:11:07.000000 +00:00,3299,245,2022-06-03 09:54:07.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
80,2022-05-25 11:12:07.000000 +00:00,2478,314,2022-05-31 16:46:07.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
81,2022-05-25 11:15:19.000000 +00:00,2610,286,2022-06-02 13:08:19.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
82,2022-05-25 11:17:46.000000 +00:00,1388,427,2022-06-01 09:48:46.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
83,2022-05-25 11:30:15.000000 +00:00,466,131,2022-05-27 14:40:15.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
84,2022-05-25 11:36:30.000000 +00:00,1829,492,2022-05-29 17:33:30.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
85,2022-05-25 12:05:34.000000 +00:00,470,414,2022-05-29 15:53:34.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
86,2022-05-25 12:36:12.000000 +00:00,2275,266,2022-05-30 13:53:12.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
87,2022-05-25 12:52:43.000000 +00:00,1586,331,2022-05-29 10:12:43.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
88,2022-05-25 13:13:54.000000 +00:00,2221,53,2022-05-29 08:32:54.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
89,2022-05-25 13:28:29.000000 +00:00,2181,499,2022-05-29 13:33:29.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
90,2022-05-25 13:31:25.000000 +00:00,2984,25,2022-06-01 09:07:25.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
91,2022-05-25 13:57:22.000000 +00:00,139,267,2022-06-01 17:32:22.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
92,2022-05-25 14:38:46.000000 +00:00,775,302,2022-05-31 12:40:46.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
93,2022-05-25 14:54:16.000000 +00:00,4360,288,2022-06-03 19:18:16.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
94,2022-05-25 15:03:42.000000 +00:00,1675,197,2022-05-30 13:23:42.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
95,2022-05-25 15:12:52.000000 +00:00,178,400,2022-06-02 17:55:52.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
96,2022-05-25 15:32:19.000000 +00:00,3418,49,2022-05-30 09:47:19.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
97,2022-05-25 15:34:24.000000 +00:00,1283,263,2022-05-28 11:13:24.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
98,2022-05-25 15:48:24.000000 +00:00,2970,269,2022-05-27 10:29:24.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
99,2022-05-25 15:50:20.000000 +00:00,535,44,2022-05-28 17:52:20.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
100,2022-05-25 15:50:28.000000 +00:00,2599,208,2022-06-02 21:11:28.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
101,2022-05-25 16:17:04.000000 +00:00,617,468,2022-05-31 18:47:04.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
102,2022-05-25 16:22:10.000000 +00:00,373,343,2022-05-31 18:47:10.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
103,2022-05-25 16:30:42.000000 +00:00,3343,384,2022-06-03 21:36:42.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
104,2022-05-25 16:46:33.000000 +00:00,4281,310,2022-05-27 14:20:33.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
105,2022-05-25 16:54:12.000000 +00:00,794,108,2022-05-30 11:03:12.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
106,2022-05-25 17:18:19.000000 +00:00,3627,196,2022-06-03 23:01:19.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
107,2022-05-25 17:28:09.000000 +00:00,2833,317,2022-06-03 21:46:09.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
108,2022-05-25 17:30:05.000000 +00:00,3289,242,2022-05-30 18:40:05.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
109,2022-05-25 17:40:20.000000 +00:00,1044,503,2022-05-29 19:39:20.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
110,2022-05-25 17:43:49.000000 +00:00,4108,19,2022-06-03 17:13:49.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
111,2022-05-25 17:45:19.000000 +00:00,3725,227,2022-05-28 16:18:19.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
112,2022-05-25 17:57:24.000000 +00:00,2153,500,2022-06-02 19:44:24.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
113,2022-05-25 18:07:40.000000 +00:00,2963,93,2022-05-27 21:16:40.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
114,2022-05-25 18:12:42.000000 +00:00,4502,506,2022-06-01 22:10:42.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
115,2022-05-25 18:13:25.000000 +00:00,749,455,2022-05-29 19:17:25.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
116,2022-05-25 18:27:51.000000 +00:00,4453,18,2022-05-26 15:23:51.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
117,2022-05-25 18:30:46.000000 +00:00,4278,7,2022-05-31 22:59:46.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
118,2022-05-25 18:31:18.000000 +00:00,872,524,2022-05-31 14:00:18.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
119,2022-05-25 18:37:02.000000 +00:00,1359,51,2022-05-29 22:51:02.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
120,2022-05-25 18:37:47.000000 +00:00,37,365,2022-06-01 22:29:47.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
121,2022-05-25 18:41:29.000000 +00:00,1053,405,2022-05-29 20:31:29.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
122,2022-05-25 18:46:21.000000 +00:00,2908,273,2022-06-02 18:07:21.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
123,2022-05-25 19:26:42.000000 +00:00,1795,43,2022-05-26 18:41:42.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
124,2022-05-25 19:46:11.000000 +00:00,212,246,2022-05-29 23:47:11.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
125,2022-05-25 19:48:50.000000 +00:00,952,368,2022-06-02 20:39:50.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
126,2022-05-25 20:07:59.000000 +00:00,2047,439,2022-05-28 17:51:59.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
127,2022-05-25 20:10:40.000000 +00:00,2026,94,2022-06-02 20:38:40.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
128,2022-05-25 20:19:53.000000 +00:00,4322,40,2022-05-29 22:34:53.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
129,2022-05-25 20:20:03.000000 +00:00,4154,23,2022-06-04 00:25:03.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
130,2022-05-25 20:21:56.000000 +00:00,3990,56,2022-05-30 21:41:56.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
131,2022-05-25 20:42:46.000000 +00:00,815,325,2022-05-30 22:25:46.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
132,2022-05-25 20:46:54.000000 +00:00,3367,479,2022-05-31 20:02:54.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
133,2022-05-25 20:48:30.000000 +00:00,399,237,2022-05-29 23:26:30.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
134,2022-05-25 20:48:41.000000 +00:00,2272,222,2022-06-02 17:28:41.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
135,2022-05-25 20:58:58.000000 +00:00,103,304,2022-06-03 16:50:58.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
136,2022-05-25 21:02:30.000000 +00:00,2296,504,2022-05-31 17:06:30.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
137,2022-05-25 21:25:18.000000 +00:00,2591,560,2022-06-01 01:30:18.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
138,2022-05-25 21:48:22.000000 +00:00,4134,586,2022-05-29 19:21:22.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
139,2022-05-25 22:00:21.000000 +00:00,327,257,2022-05-29 16:12:21.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
140,2022-05-25 22:34:22.000000 +00:00,655,354,2022-05-27 00:10:22.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
141,2022-05-25 22:34:53.000000 +00:00,811,89,2022-06-02 00:57:53.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
142,2022-05-25 22:43:47.000000 +00:00,4407,472,2022-05-28 23:46:47.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
143,2022-05-25 22:45:52.000000 +00:00,847,297,2022-05-27 20:41:52.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
144,2022-05-25 22:49:56.000000 +00:00,1689,357,2022-06-01 20:41:56.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
145,2022-05-25 22:59:03.000000 +00:00,3905,82,2022-05-31 01:56:03.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
146,2022-05-25 23:07:11.000000 +00:00,1431,433,2022-06-03 23:20:11.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
147,2022-05-25 23:17:50.000000 +00:00,633,274,2022-05-29 22:21:50.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
148,2022-05-25 23:25:23.000000 +00:00,4252,142,2022-06-01 18:29:23.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
149,2022-05-25 23:28:05.000000 +00:00,1084,319,2022-06-02 20:30:05.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
150,2022-05-25 23:28:39.000000 +00:00,909,429,2022-06-01 01:10:39.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
151,2022-05-25 23:37:28.000000 +00:00,2942,14,2022-05-30 05:28:28.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
152,2022-05-25 23:41:10.000000 +00:00,2622,57,2022-06-03 05:05:10.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
153,2022-05-25 23:47:47.000000 +00:00,3888,348,2022-05-27 20:28:47.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
154,2022-05-25 23:55:56.000000 +00:00,1354,185,2022-05-29 22:18:56.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
155,2022-05-26 00:15:05.000000 +00:00,288,551,2022-05-31 23:03:05.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
156,2022-05-26 00:19:05.000000 +00:00,3193,462,2022-05-27 22:43:05.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
157,2022-05-26 00:25:21.000000 +00:00,887,344,2022-05-26 20:17:21.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
158,2022-05-26 00:27:11.000000 +00:00,2395,354,2022-06-02 23:30:11.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
159,2022-05-26 00:34:28.000000 +00:00,3453,505,2022-05-29 03:00:28.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
160,2022-05-26 00:46:20.000000 +00:00,1885,290,2022-06-01 04:45:20.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
161,2022-05-26 00:51:48.000000 +00:00,2941,182,2022-05-27 04:42:48.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
162,2022-05-26 01:02:05.000000 +00:00,1229,296,2022-05-27 02:38:05.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
163,2022-05-26 01:26:23.000000 +00:00,2306,104,2022-06-04 05:36:23.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
164,2022-05-26 01:26:49.000000 +00:00,1070,151,2022-05-27 23:32:49.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
165,2022-05-26 01:28:36.000000 +00:00,2735,33,2022-06-02 02:21:36.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
166,2022-05-26 01:49:11.000000 +00:00,3894,322,2022-05-31 00:28:11.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
167,2022-05-26 01:50:31.000000 +00:00,865,401,2022-05-27 02:07:31.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
168,2022-05-26 02:07:43.000000 +00:00,2714,469,2022-06-02 01:09:43.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
169,2022-05-26 02:09:30.000000 +00:00,1758,381,2022-05-27 00:37:30.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
170,2022-05-26 02:11:12.000000 +00:00,3688,107,2022-06-02 02:53:12.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
171,2022-05-26 02:14:15.000000 +00:00,4483,400,2022-06-02 23:24:15.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
172,2022-05-26 02:17:42.000000 +00:00,2873,176,2022-05-29 03:11:42.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
173,2022-05-26 02:42:10.000000 +00:00,3596,533,2022-05-28 00:37:10.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
174,2022-05-26 02:44:10.000000 +00:00,3954,552,2022-05-28 06:13:10.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
175,2022-05-26 02:46:26.000000 +00:00,4346,47,2022-06-03 05:01:26.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
176,2022-05-26 02:47:39.000000 +00:00,851,250,2022-06-01 01:36:39.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
177,2022-05-26 03:14:29.000000 +00:00,3545,548,2022-06-01 07:16:29.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
178,2022-05-26 03:21:46.000000 +00:00,1489,196,2022-06-04 06:09:46.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
179,2022-05-26 03:26:06.000000 +00:00,2575,19,2022-06-03 09:06:06.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
180,2022-05-26 03:46:23.000000 +00:00,2752,75,2022-06-01 08:58:23.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
181,2022-05-26 03:47:06.000000 +00:00,2417,587,2022-05-29 05:34:06.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
182,2022-05-26 03:49:17.000000 +00:00,4396,237,2022-06-01 04:43:17.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
183,2022-05-26 04:01:18.000000 +00:00,2877,254,2022-06-01 08:04:18.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
184,2022-05-26 04:29:49.000000 +00:00,1970,556,2022-05-28 09:10:49.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
185,2022-05-26 04:30:03.000000 +00:00,2598,125,2022-06-02 08:48:03.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
186,2022-05-26 04:32:52.000000 +00:00,1799,468,2022-06-03 06:19:52.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
187,2022-05-26 04:42:37.000000 +00:00,4004,515,2022-06-03 23:38:37.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
188,2022-05-26 04:47:12.000000 +00:00,3342,243,2022-05-26 22:48:12.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
189,2022-05-26 05:01:41.000000 +00:00,984,247,2022-05-27 05:11:41.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
190,2022-05-26 05:11:28.000000 +00:00,3962,533,2022-06-01 08:44:28.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
191,2022-05-26 05:14:06.000000 +00:00,4365,412,2022-05-28 04:33:06.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
192,2022-05-26 05:20:37.000000 +00:00,1897,437,2022-06-02 09:57:37.000000 +00:00,1,2022-02-16 02:30:53.000000 +00:00
193,2022-05-26 05:41:48.000000 +00:00,3900,270,2022-05-30 05:21:48.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
194,2022-05-26 05:52:33.000000 +00:00,1337,29,2022-05-30 03:08:33.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
195,2022-05-26 05:52:36.000000 +00:00,506,564,2022-05-31 01:47:36.000000 +00:00,2,2022-02-16 02:30:53.000000 +00:00
