country_id,country,last_update
36,French Polynesia,2022-02-15 09:44:00.000000 +00:00
37,Gambia,2022-02-15 09:44:00.000000 +00:00
38,Germany,2022-02-15 09:44:00.000000 +00:00
39,Greece,2022-02-15 09:44:00.000000 +00:00
40,Greenland,2022-02-15 09:44:00.000000 +00:00
41,Holy See (Vatican City State),2022-02-15 09:44:00.000000 +00:00
42,Hong Kong,2022-02-15 09:44:00.000000 +00:00
43,Hungary,2022-02-15 09:44:00.000000 +00:00
44,India,2022-02-15 09:44:00.000000 +00:00
45,Indonesia,2022-02-15 09:44:00.000000 +00:00
46,Iran,2022-02-15 09:44:00.000000 +00:00
47,Iraq,2022-02-15 09:44:00.000000 +00:00
48,Israel,2022-02-15 09:44:00.000000 +00:00
49,Italy,2022-02-15 09:44:00.000000 +00:00
50,Japan,2022-02-15 09:44:00.000000 +00:00
51,Kazakstan,2022-02-15 09:44:00.000000 +00:00
52,Kenya,2022-02-15 09:44:00.000000 +00:00
53,Kuwait,2022-02-15 09:44:00.000000 +00:00
54,Latvia,2022-02-15 09:44:00.000000 +00:00
55,Liechtenstein,2022-02-15 09:44:00.000000 +00:00
56,Lithuania,2022-02-15 09:44:00.000000 +00:00
57,Madagascar,2022-02-15 09:44:00.000000 +00:00
58,Malawi,2022-02-15 09:44:00.000000 +00:00
59,Malaysia,2022-02-15 09:44:00.000000 +00:00
60,Mexico,2022-02-15 09:44:00.000000 +00:00
61,Moldova,2022-02-15 09:44:00.000000 +00:00
62,Morocco,2022-02-15 09:44:00.000000 +00:00
63,Mozambique,2022-02-15 09:44:00.000000 +00:00
64,Myanmar,2022-02-15 09:44:00.000000 +00:00
65,Nauru,2022-02-15 09:44:00.000000 +00:00
66,Nepal,2022-02-15 09:44:00.000000 +00:00
67,Netherlands,2022-02-15 09:44:00.000000 +00:00
68,New Zealand,2022-02-15 09:44:00.000000 +00:00
69,Nigeria,2022-02-15 09:44:00.000000 +00:00
70,North Korea,2022-02-15 09:44:00.000000 +00:00
71,Oman,2022-02-15 09:44:00.000000 +00:00
72,Pakistan,2022-02-15 09:44:00.000000 +00:00
73,Paraguay,2022-02-15 09:44:00.000000 +00:00
74,Peru,2022-02-15 09:44:00.000000 +00:00
75,Philippines,2022-02-15 09:44:00.000000 +00:00
76,Poland,2022-02-15 09:44:00.000000 +00:00
77,Puerto Rico,2022-02-15 09:44:00.000000 +00:00
78,Romania,2022-02-15 09:44:00.000000 +00:00
79,Runion,2022-02-15 09:44:00.000000 +00:00
80,Russian Federation,2022-02-15 09:44:00.000000 +00:00
81,Saint Vincent and the Grenadines,2022-02-15 09:44:00.000000 +00:00
82,Saudi Arabia,2022-02-15 09:44:00.000000 +00:00
83,Senegal,2022-02-15 09:44:00.000000 +00:00
84,Slovakia,2022-02-15 09:44:00.000000 +00:00
85,South Africa,2022-02-15 09:44:00.000000 +00:00
86,South Korea,2022-02-15 09:44:00.000000 +00:00
87,Spain,2022-02-15 09:44:00.000000 +00:00
88,Sri Lanka,2022-02-15 09:44:00.000000 +00:00
89,Sudan,2022-02-15 09:44:00.000000 +00:00
90,Sweden,2022-02-15 09:44:00.000000 +00:00
91,Switzerland,2022-02-15 09:44:00.000000 +00:00
92,Taiwan,2022-02-15 09:44:00.000000 +00:00
93,Tanzania,2022-02-15 09:44:00.000000 +00:00
94,Thailand,2022-02-15 09:44:00.000000 +00:00
95,Tonga,2022-02-15 09:44:00.000000 +00:00
96,Tunisia,2022-02-15 09:44:00.000000 +00:00
97,Turkey,2022-02-15 09:44:00.000000 +00:00
98,Turkmenistan,2022-02-15 09:44:00.000000 +00:00
99,Tuvalu,2022-02-15 09:44:00.000000 +00:00
100,Ukraine,2022-02-15 09:44:00.000000 +00:00
101,United Arab Emirates,2022-02-15 09:44:00.000000 +00:00
102,United Kingdom,2022-02-15 09:44:00.000000 +00:00
103,United States,2022-02-15 09:44:00.000000 +00:00
104,Venezuela,2022-02-15 09:44:00.000000 +00:00
105,Vietnam,2022-02-15 09:44:00.000000 +00:00
106,"Virgin Islands, U.S.",2022-02-15 09:44:00.000000 +00:00
107,Yemen,2022-02-15 09:44:00.000000 +00:00
108,Yugoslavia,2022-02-15 09:44:00.000000 +00:00
109,Zambia,2022-02-15 09:44:00.000000 +00:00
